status,reported,description,address,type,occurred
OPEN,2020-02-01 00:36:00+00:00,"Officer dispatched to take a report of a stolen unattended and unsecured black Canada Goose jacket valued at $1,200.00 and a black Venezia jacket valued at $1,000.00 containing, Apple Airpods valued at $150.00, $150.00 in U.S. currency and a     recovered-stolen black zippered wallet valued at $75.00.",LEVERETT HOUSE TOWERS G 40 DEWOLFE ST CAMBRIDGE,THEFT REPORT,1/31/20 - 11:00 PM 2/1/20 - 0:35 AM
CLOSED,2019-07-20 00:33:00+00:00,"Officer dispatched to a report of an individual with a flashlight inside of the stadium. Prior to officer's arrival, the  
reporting party called back and stated that the individual was a contractor working inside of the building.",ATHLETICS - STADIUM 79 N HARVARD ST ALLSTON,SUSPICIOUS ACTIVITY,"7/20/19
0:33 AM"
CLOSED,2019-06-02 20:24:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,CONTINUUM 219 WESTERN AVE ALLSTON,MOTOR VEHICLE ACCIDENT,6/2/19 8:15 PM - 8:35 PM
CLOSED,2020-01-30 08:04:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the alleyway near the building. Officers arrived, located the individual, and sent them on their way.",8 STORY STCAMBRIDGE,UNWANTED GUEST,1/30/20 8:04 AM
CLOSED,2019-08-13 16:29:00+00:00,Officer dispatched to take a report of a stolen check.,ROCK CENTER 60 N HARVARD ST ALLSTON,THEFT REPORT,7/12/19 - 12:00 PM 7/17/19 - 12:00 PM
OPEN,2019-07-09 15:43:00+00:00,Officer dispatched to take a report of a threat.,124 MT AUBURN ST,THREAT(S),6/29/19 - 1:53 AM 7/4/19 - 2:41 AM
CLOSED,2020-05-06 11:44:00+00:00,"Officers dispatched to a report of two individuals consuming alcohol in the area. Officers arrived, located the            individuals, and reported that the individuals disposed of the alcohol and were sent on their way.",DANA PALMER HOUSE 16 QUINCY ST CAMBRIDGE,UNWANTED GUEST,5/6/20 11:44 AM
CLOSED,2019-03-23 19:36:00+00:00,"Officers dispatched to a report of an unwanted guest in the building.  Officers arrived and reported individual gone on   
arrival.",SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,UNWANTED GUEST,"3/23/19
7:36 PM"
CLOSED,2019-12-05 18:40:00+00:00, ,260 LONGWOOD AVEBOSTON,ASSIST BOSTON POLICE,12/5/19 6:40 PM
CLOSED,2020-02-16 19:07:00+00:00,"Officer dispatched to a report of an unwanted guest sleeping in the area. Officers arrived, located the individual, and    reported that all was in order.",JAMES ST / BRATTLE STCAMBRIDGE,ASSIST CAMBRIDGE POLICE,2/16/20 7:07 PM
CLOSED,2019-08-28 09:02:00+00:00,"Officers dispatched to a report of suspicious activity. Officer arrived and reported that an individual had left several   backpacks unattended in the building. Officers then located the individual and conducted a field interview. Following the  field interview, the individual was advised against leaving property unattended in the building.",WASSERSTEIN HALL 1585 MASSACHUSETTS AVE CAMBRIDGE,FIELD INTERVIEW,8/28/19 9:00 AM - 9:15 AM
CLOSED,2019-10-22 14:44:00+00:00,Officer dispatched to a report of an unwanted guest laying on the ground. Officer arrived and reported that Cambridge      Police was on scene and took jurisdiction over the incident.,STORY STCAMBRIDGE,ASSIST CAMBRIDGE POLICE,10/22/19 2:44 PM
CLOSED,2019-07-19 12:54:00+00:00,Officer dispatched to monitor a demonstration that occurred without incident.,WIDENER LIBRARY 31 HARVARD YARD CAMBRIDGE,DEMONSTRATION,7/19/19 12:54 PM - 1:50 PM
CLOSED,2019-03-30 23:44:00+00:00,"Officers dispatched to a report of a loud party. Officers arrived and advised occupants of room 301 to keep the noise     
level down.",WINTHROP HOUSE K - GORE HALL 32 MILL ST CAMBRIDGE,LOUD PARTY,"3/30/19
11:44 PM"
CLOSED,2019-04-04 17:15:00+00:00,"Officer while on patrol stopped an oversized truck from traveling on Storrow Drive due to the low bridges. Officer        
reported that State Police was on scene and that the truck was rerouted successfully.",STORROW DRIVE / NORTH HARVARD ST,ASSIST STATE POLICE           ,"4/4/19
5:15 PM"
OPEN,2020-03-05 15:27:00+00:00,"Officer took a report of a stolen brown Jamis Sequel bicycle valued at $1,029.99 and bicycle accessories. The reporting    individual informed the officer that their bicycle was secured to a bike rack with a U-lock, which was left intact at the  scene.",LOWELL HOUSE D 10 HOLYOKE PL CAMBRIDGE,THEFT REPORT,3/1/20 0:01 AM - 1:00 PM
CLOSED,2019-07-01 15:33:00+00:00,Officer dispatched to a report of an individual skateboarding in the area. Officers arrived and reported that the          individual was not skateboarding and allowed to remain in the area.,FAIRCHILD BIOCHEM BUILDING 7 DIVINITY AVE CAMBRIDGE,SKATEBOARD/BIKE COMPLAINT,7/1/19 3:33 PM
CLOSED,2019-07-14 10:17:00+00:00,"Officer while on patrol took a report of a stolen light blue Huffy Highland bicycle valued at $150.00. The reporting       individual informed the officer that their bicycle was secured with a cable lock valued at $15.00, which was also stolen.",1558 MASSACHUSETTS AVECAMBRIDGE,ASSIST CAMBRIDGE POLICE,7/13/19 - 9:00 PM 7/14/19 - 10:00 AM
ARREST,2019-06-26 06:02:00+00:00,"Officers dispatched to a report of an unwanted guest urinating on the sidewalk adjacent to the building. Officers arrived, located the individual, and reported that they were in the process of removing several of their belongings placed against  the building under a ""No Trespass"" sign. Officers then approached the individual and conducted a field interview. During   the field interview, the individual engaged in uncooperative behavior and repeatedly refused to provide the officers with  accurate identifying information. At this time, the individual made several statements pertaining to their involvement in  urinating on the sidewalk in front of pedestrians. Once the individual's true identity was determined, they were run for   wants/warrants with negative results. The individual was then informed that they were being placed under arrest for        Indecent Exposure and Trespassing. The individual was then transported to the Harvard University Police Department for     booking and issued a verbal trespass warning for all Harvard University property.                                                                                                                                                                     Name: Stearns, Elizabeth                                                                                                   Age: 53                                                                                                                    Address: Homeless                                                                                                          Charge(s): Indecent Exposure                                                                                               Trespassing",8 STORY STCAMBRIDGE,INDECENT EXPOSURE,6/26/19 6:02 AM - 6:40 AM
CLOSED,2019-06-29 00:31:00+00:00,"Officer dispatched to a report of several individuals consuming alcoholic beverages and attempting to climb on the statue.
Officer arrived and reported that the individuals were gone on arrival.",JOHN HARVARD STATUE 1 HARVARD YARD CAMBRIDGE,SUSPICIOUS ACTIVITY,"6/29/19
0:31 AM"
CLOSED,2019-06-11 13:36:00+00:00,Officer dispatched to take a report of annoying emails.,DIVINITY HALL 14 DIVINITY AVE CAMBRIDGE,"ANNOYING
CALLS/TEXTS/EMAILS","4/29/19 - 11:31 AM
4/30/19 - 3:50 PM"
CLOSED,2020-05-24 14:07:00+00:00,"Officers dispatched to a report of a group of individuals in the area. Officers arrived, located the individuals, and sent them on their way.",ATHLETICS - BEREN TENNIS COURT 79 N HARVARD ST ALLSTON,REMOVE GROUP,5/24/20 2:07 PM
CLOSED,2020-01-31 10:25:00+00:00,Officer dispatched to take a report of tagging/graffiti done to a sign in front of the building.,WALLACH HOUSE 77 BRATTLE ST CAMBRIDGE,VANDALISM,1/31/20 10:27 AM - 10:35 AM
CLOSED,2019-05-02 08:13:00+00:00,"Officers dispatched to a report of an individual sleeping in a restroom stall inside the building. Officers arrived,      
located the individual outside of the restroom, and conducted a field interview. The individual was run for wants/warrants
with negative results. The individual was then issued a verbal trespass warning for all Harvard University property and   
sent on their way.",SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,TRESPASS WARNING,"5/2/19
8:13 AM - 9:00 AM"
OPEN,2019-03-29 10:04:00+00:00,"Officer dispatched to take a report of a stolen license, $70.00 in U.S. currency, a health insurance card, and            
credit/debit cards.",LITTAUER CENTER 1805 CAMBRIDGE ST CAMBRIDGE,THEFT REPORT,"3/28/19
9:30 AM - 5:38 PM"
CLOSED,2019-11-10 00:02:00+00:00,Officers dispatched to a report of a noise complaint. Officers arrived and advised the occupants to keep the noise level   down.,STRAUS HALL A 10 HARVARD YARD CAMBRIDGE,NOISE COMPLAINT,11/10/19 0:02 AM
CLOSED,2020-03-10 22:25:00+00:00,Officers dispatched to a report of a noise complaint. Officers arrived and advised the occupants to keep the noise level   down.,2 PEABODY STCAMBRIDGE,NOISE COMPLAINT,3/10/20 10:25 PM
CLOSED,2019-07-13 12:13:00+00:00,Officer dispatched to take a report of damage done to a black Schwinn Ranger bicycle possibly caused by construction       equipment in the area.,JEFFERSON LAB 17 OXFORD ST CAMBRIDGE,PROPERTY DAMAGE,7/12/19 8:30 AM - 3:30 PM
CLOSED,2019-06-28 11:45:00+00:00,"Officer dispatched to a report of a pedestrian struck by a motor vehicle. Officer arrived and reported that Cambridge     
Police  was on scene and took jurisdiction over the incident shortly thereafter.",ELIOT ST,ASSIST CAMBRIDGE POLICE ,"6/28/19
11:45 AM"
OPEN,2020-02-02 03:50:00+00:00,"Officer dispatched to take a report of several stolen unsecured gold necklaces valued at $1,050.00.",WIGGLESWORTH HALL H 6 HARVARD YARD CAMBRIDGE,THEFT REPORT,2/1/20 - 11:00 PM 2/2/20 - 3:00 AM
CLOSED,2020-03-10 15:09:00+00:00,"Officers dispatched to a report of several individuals consuming alcohol outside of the building. Officers arrived,        located the individuals, and reported that they allowed the group to stay in the area but advised them to dispose of the   alcohol.",WIDENER LIBRARY 31 HARVARD YARD CAMBRIDGE,REMOVE GROUP,3/10/20 3:09 PM
CLOSED,2019-07-10 18:05:00+00:00,"Officers dispatched to a report of a small mulch fire near the building. Officer arrived and reported that the fire was   
extinguished by the Boston Fire Department.",KRESGE - SPH 677 HUNTINGTON AVE BOSTON,FIRE,"7/10/19
6:00 PM - 6:02 PM"
OPEN,2019-11-27 11:59:00+00:00,"Officer dispatched to take a report of a stolen pink Coach clutch purse valued at $50.00 containing a cell phone valued at $50.00, a license, an HUID card, and debit/credit cards.",WASSERSTEIN HALL 1585 MASSACHUSETTS AVE CAMBRIDGE,THEFT REPORT,11/26/19 10:17 AM - 11:50 AM
CLOSED,2019-04-25 01:57:00+00:00,"Officers dispatched to a report of a noise complaint. Officers arrived and advised occupants of room 410 to keep the noise
level down.",SOLDIERS FIELD PARK 06 111 WESTERN AVE ALLSTON,NOISE COMPLAINT,"4/25/19
1:57 AM"
CLOSED,2019-07-01 12:40:00+00:00,"Officer dispatched to a report of an unattended bag behind the building. Officer arrived and located a cooler that did not
contain any suspicious content.",CENTER FOR GOVT AND INTER STUD 1730 CAMBRIDGE ST CAMBRIDGE,"SUSPICIOUS MAIL/
PACKAGE/BAG","7/1/19
12:40 PM"
OPEN,2020-05-30 07:40:00+00:00,Officer took a report of a stolen package containing a Logitech keyboard valued at $33.00 from the lobby of the building.,10 AKRON STCAMBRIDGE,THEFT REPORT,5/29/20 8:00 PM - 11:00 PM
CLOSED,2019-06-19 14:45:00+00:00,Officer dispatched to take a report of annoying emails.,KRESGE - SPH 677 HUNTINGTON AVE BOSTON,"ANNOYING
CALLS/TEXTS/EMAILS","6/9/19 - 3:00 PM
6/18/19 - 3:00 PM"
OPEN,2019-10-18 09:59:00+00:00,"Officer dispatched to take a report of a stolen gray Trek bicycle valued at $800.00. The reporting individual informed the officer that their bicycle was secured to a bike rack with a chain lock valued at $10.00, which was also stolen.",CURRIER HOUSE C - DANIELS HALL 64 LINNAEAN ST CAMBRIDGE,THEFT REPORT,10/15/19 - 5:00 PM 10/16/19 - 8:50 AM
CLOSED,2020-05-07 18:33:00+00:00,"Officer while on patrol observed a group of individuals skateboarding in the area, approached the individuals, and sent    them on their way.",MALKIN ATHLETIC CENTER 39 HOLYOKE ST CAMBRIDGE,SKATEBOARD/BIKE COMPLAINT,5/7/20 6:33 PM
OPEN,2020-02-02 16:01:00+00:00,"Officer dispatched to take a report of an unlawful entry into a residence and a stolen Apple laptop valued at $1,500.00.",THAYER HALL EAST 21 HARVARD YARD CAMBRIDGE,THEFT REPORT,2/1/20 - 8:00 PM 2/2/20 - 3:00 PM
OPEN,2019-07-15 13:10:00+00:00,Officer dispatched to take a report of a previous unwanted guest in the building.,EMERSON HALL 26 HARVARD YARD CAMBRIDGE,UNWANTED GUEST,7/8/19 - 11:00 AM 7/15/19 - 1:00 PM
ARREST,2019-06-26 10:33:00+00:00,"Officer while on patrol observed an individual in the building who had an active trespass warning for all Harvard          University property. Officer approached the individual and conducted a field interview. During the field interview, the    individual engaged in uncooperative and agitated behavior. The individual was run for wants/warrants with positive results for an active warrant and positive results for an active trespass warning for all Harvard University property. The         individual was then informed that they were being placed under arrest. At this time, the individual began to yell and      actively resist the arrest. Ultimately, the individual was placed under arrest and transported to the Harvard University   Police Department for booking.                                                                                                                                                                                                                        Name: Rivera, Kristopher                                                                                                   Age: 21                                                                                                                    Address: 402 Massachusetts Ave, Cambridge, Massachusetts 02138                                                             Charge(s): Trespassing                                                                                                     Resisting Arrest                                                                                                           Warrant Services",SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,TRESPASSING,6/26/19 10:33 AM - 11:03 AM
CLOSED,2020-02-13 14:52:00+00:00,Officer dispatched to take a report of suspicious activity.,LANDMARK CENTER 401 PARK DR BOSTON,SUSPICIOUS ACTIVITY,2/13/20 2:00 PM - 2:50 PM
OPEN,2019-08-02 17:41:00+00:00,"Officer dispatched to take a report of a stolen brown wallet valued at $40.00, $80.00 in U.S. currency, identification     card, Charlie card, and debit/credit cards.",SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,THEFT REPORT,8/2/19 5:10 PM - 5:15 PM
CLOSED,2019-10-10 10:48:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the dugout. Officers arrived, located the individual, and sent them on their way.", ATHLETICS - O DONNELL BASEBALL 79 N HARVARD ST ALLSTON,UNWANTED GUEST,10/10/19 10:48 AM
CLOSED,2020-01-07 12:14:00+00:00,Officer dispatched to take a report of suspicious mail.,HARVARD ALUMNI ASSOCIATION 124 MT AUBURN ST CAMBRIDGE,SUSPICIOUS CALL/TEXT/MAIL/SOCI,1/7/20 8:00 AM - 12:30 PM
CLOSED,2019-07-09 15:03:00+00:00,"Officer dispatched to a report of an unwanted guest sleeping in the area. Officer arrived, located the individual, and    
sent them on their way.",SMITH CAMPUS CENTER - WELCOME 1350 MASSACHUSETTS AVE CAMBRIDGE,UNWANTED GUEST,"7/9/19
3:03 PM"
CLOSED,2019-07-28 16:02:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the building. Officers arrived, located the individual,   and sent them on their way.",SMITH CAMPUS CENTER - ARCADE 1350 MASSACHUSETTS AVE CAMBRIDGE,UNWANTED GUEST,7/28/19 4:02 PM
OPEN,2019-10-24 18:22:00+00:00, ,SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,VANDALISM,10/24/19 12:00 PM - 6:20 PM
CLOSED,2019-09-28 17:05:00+00:00,Officer dispatched to a report of a small mulch fire near the building. Officer arrived and reported that the fire was     extinguished by the Cambridge Fire Department.,WINTHROP HOUSE FACULTY DEAN 966 MEMORIAL DR CAMBRIDGE,FIRE,9/28/19 5:05 PM - 5:30 PM
CLOSED,2019-09-07 01:12:00+00:00,Officers dispatched to a report of a loud party. Officers arrived and reported that the music was already shut off and all occupants were dispersing for the night.,ADAMS HOUSE B - WESTMORLY HALL 45 BOW ST CAMBRIDGE,LOUD PARTY,9/7/19 1:12 AM
CLOSED,2019-06-25 09:56:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping near a side door and obstructing entrance into the building. Officers arrived, located the individual, and conducted a field interview. The individual was run for wants/warrants with  negative results. The individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",MALKIN ATHLETIC CENTER 39 HOLYOKE ST CAMBRIDGE,TRESPASS WARNING,6/25/19 9:50 AM - 10:10 AM
CLOSED,2019-06-19 08:36:00+00:00,Officers dispatched to a report of an individual impeding access into the entrance of the building. Officers arrived and   reported that the individual had authorization to be in the building and all was in order.,SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,SUSPICIOUS ACTIVITY,6/19/19 8:36 AM
OPEN,2020-01-19 06:11:00+00:00,Officer dispatched to take a report of vandalism to the dome.,ATHLETICS - STADIUM 79 N HARVARD ST ALLSTON,VANDALISM,1/18/20 - 10:00 PM 1/19/20 - 2:50 AM
CLOSED,2019-07-16 12:09:00+00:00,"Officer while on patrol observed an individual actively dancing while playing music in the area. Officer approached the   
individual and conducted a field interview. During the field interview, the individual was informed that their movements",FORBES PLAZA 1350 MASSACHUSETTS AVE CAMBRIDGE,FIELD INTERVIEW,"7/16/19
12:09 PM - 12:15 PM"
CLOSED,2019-07-18 16:52:00+00:00,Officer dispatched to take a report of stolen U.S. currency valued at $500.00.,ELIOT HOUSE B 101 DUNSTER ST CAMBRIDGE,THEFT REPORT,7/4/19 - 0:01 AM 7/8/19 - 11:59 PM
CLOSED,2019-05-19 00:08:00+00:00,Officers dispatched to a report of a noise complaint. Officers arrived and reported that the area was quiet.,TERRY TERRACE 15 EVERETT ST CAMBRIDGE,NOISE COMPLAINT,"5/19/19
0:08 AM"
CLOSED,2020-03-05 23:03:00+00:00,Officers dispatched to a report of a noise complaint. Officers arrived and reported that the area was quiet.,10 AKRON STCAMBRIDGE,NOISE COMPLAINT,3/5/20 11:03 PM
CLOSED,2020-04-28 12:49:00+00:00,"Officers dispatched to a report of an individual engaged in suspicious activity in the area. Officers arrived, located the individual, and conducted a field interview. Following the field interview, officers reported that all was well.",WIDENER LIBRARY 31 HARVARD YARD CAMBRIDGE,FIELD INTERVIEW,4/28/20 12:49 PM
CLOSED,2019-08-08 11:57:00+00:00,Officer dispatched to a report of an unattended suitcase in the building. Officer arrived and reported that the suitcase   was empty and disposed of properly.,CENTER FOR GOVT AND INTER STUD 1737 CAMBRIDGE ST CAMBRIDGE,SUSPICIOUS MAIL/ PACKAGE/BAG,8/8/19 11:57 AM
CLOSED,2019-05-10 06:13:00+00:00,"Officer dispatched to a report of loud construction noise in the area. Officer arrived and reported that a dumpster truck 
was disposing of waste.",CONANT HALL 36 OXFORD ST CAMBRIDGE,NOISE COMPLAINT,"5/10/19
6:13 AM"
OPEN,2019-12-11 18:38:00+00:00,"Officer took a walk-in report of a stolen unattended and unsecured Apple Macbook laptop valued at $1,600.00.",ANNENBERG HALL 18 KIRKLAND ST CAMBRIDGE,THEFT REPORT,12/10/19 8:00 AM - 8:30 AM
CLOSED,2019-07-26 04:39:00+00:00,Officer while on patrol received a report of an individual chasing another individual in the area. Officer searched the    area and reported all appeared to be in order.,ELIOT ST / JFK STCAMBRIDGE,ASSIST CAMBRIDGE POLICE,7/26/19 4:39 AM
CLOSED,2019-05-08 12:05:00+00:00,Officer dispatched to take a report of a suspicious telephone call.,WILLIAM JAMES HALL 33 KIRKLAND ST CAMBRIDGE,SUSPICIOUS ACTIVITY,"5/8/19
1:00 PM - 1:30 PM"
CLOSED,2019-11-21 07:48:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping behind the building. Officers arrived, located the           individual, and sent them on their way.",8 STORY STCAMBRIDGE,UNWANTED GUEST,11/21/19 7:48 AM
CLOSED,2019-07-16 12:04:00+00:00,"Officers dispatched to a report of an individual causing a disturbance by yelling in front of the building. Officers      
arrived, located the individual, and conducted a field interview.  During the field interview, the individual refused to  
provide identifying information as well as engaged in uncooperative behavior. Following the field interview, the          
individual was sent on their way.",SPH - 718 HUNTINGTON 718 HUNTINGTON AVE BOSTON,DISTURBANCE,"7/16/19
12:00 PM - 12:50 PM"
CLOSED,2019-07-13 20:40:00+00:00,Officer dispatched to take a report of an unarmed robbery of $60.00 in U.S. currency.,WIGGLESWORTH HALL H 6 HARVARD YARD CAMBRIDGE,ROBBERY REPORT,"7/13/19
8:15 PM - 8:30 PM"
CLOSED,2020-01-27 15:36:00+00:00,"Officer dispatched to a report of three individuals on the roof of the building. Officers arrived, located the             individuals, and conducted a field interview. During the field interview, the individuals were run for wants/warrants with negative results, and were then sent on their way.",38 OXFORD 38 OXFORD ST CAMBRIDGE,FIELD INTERVIEW,1/27/20 3:35 PM - 3:45 PM
CLOSED,2019-03-23 13:13:00+00:00,Officer dispatched to take a report of stolen clothing valued at $500.00.,LEVERETT HOUSE TOWERS G 40 DEWOLFE ST CAMBRIDGE,THEFT REPORT,"3/18/19 - 12:00 PM
3/20/19 - 6:00 PM"
OPEN,2020-01-23 15:02:00+00:00,"Officer dispatched to take a report of a stolen unattended silver Macbook laptop valued at $4,000.00.",KRESGE - SPH 677 HUNTINGTON AVE BOSTON,THEFT REPORT,11/1/19 - 3:00 PM 1/15/20 - 3:00 PM
CLOSED,2019-04-25 18:18:00+00:00,Officers dispatched to monitor a demonstration that went without incident.,MEMORIAL CHURCH 23 HARVARD YARD CAMBRIDGE,DEMONSTRATION,"4/25/19
6:13 PM - 6:40 PM"
OPEN,2019-12-13 21:19:00+00:00,"Officer dispatched to take a report of a stolen black Trek bicycle valued at $900.00. The reporting individual informed    the officer that their bicycle was secured inside of the bike cage with a U-lock valued at $40.00, which was also stolen.",NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR BOSTON,THEFT REPORT,12/13/19 9:30 AM - 8:45 PM
CLOSED,2019-03-27 13:44:00+00:00,"Officers dispatched to a report of individuals skateboarding in the area. Officers arrived and reported individuals gone  
on arrival.",GUND HALL 48 QUINCY ST CAMBRIDGE,"SKATEBOARD/BIKE
COMPLAINT","3/27/19
1:44 PM"
OPEN,2019-09-16 14:47:00+00:00,Officer took a report of harassment.,TOZZER LIBRARY 21 DIVINITY AVE CAMBRIDGE,HARASSMENT,2/14/19 - 12:00 PM 9/15/19 - 8:22 AM
CLOSED,2019-05-30 09:12:00+00:00,"Officer dispatched to a report of an unwanted guest pacing back and forth in the building. Officer arrived, located the   
individual, and conducted a field interview. The individual was run for wants/warrants with negative results. The         
individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,TRESPASS WARNING,"5/30/19
9:05 AM - 9:30 AM"
